,ch_name,english_name,date,info
0,小小兵2：格魯的崛起,Minions: The Rise of Guru,2022-07-01,"今年暑假，影史最賣座的動畫電影系列之一和風靡全球的現象，即將帶來關於一個12歲小男孩的故事，他夢想成為世上最偉大的超級大壞蛋。這部全新動畫喜劇動作片就是《小小兵2：格魯的崛起》。
 
這部電影充滿了照明娛樂招牌的顛覆性和無厘頭喜劇橋段、各種大眾文化的笑梗、感人肺腑的劇情、勁爆的電影配樂，以及宇宙超級無敵誇張的動作場面。《小小兵2：格魯的崛起》一片由這個電影系列的原創掌舵，製片包括照明娛樂極具遠見的創辦人和執行長克里斯梅勒丹德利、他的長期合作夥伴珍娜海莉，以及克里斯雷納德，導演凱爾巴爾達（《神偷奶爸3》、《小小兵》）則再度回歸執導這部電影。共同導演是布萊德艾柏森（長壽喜劇影集《辛普森家庭》）以及強納森戴凡（《寵物當家》系列電影）。"
1,蝙蝠俠,The Batman,2022-03-04,《蝙蝠俠》將聚焦於一個年輕版本的布魯斯韋恩，並從中檢視他在面罩之下的靈魂。羅伯派汀森將在新版《蝙蝠俠》中飾演這位DC超級英雄，電影是由《猩球崛起：終極決戰》導演麥特李維斯（Matt Reeves）所執導。
2,魔比斯,Morbius,2022-01-16,"★索尼與漫威繼《猛毒》後再一野心暗黑爭議之作 
★《蜘蛛人》宇宙正式成立 全新神秘反派 吸血鬼「魔比斯」首推獨立電影
★奧斯卡得主傑瑞德雷托領軍 金球獎影麥可基頓火力加持 再創漫威宇宙高峰
 
在漫威宇宙中最具爭議性且複雜的角色即將在大銀幕與全球觀眾見面！由奧斯卡得主傑瑞德雷托領軍，飾演一位患有罕見疾病的生物化學博士麥可魔比斯；為治療自己的疾病，並試圖挽救其他遭受相同命運的人，他試圖進行一場絕望的豪賭，並大膽在實驗過程中利用吸血蝙蝠的DNA治療。雖說實驗結果在起初看似成功，但最後的結果只是顯示，這一切可能只是帶給他比原有疾病更糟糕的痛苦而已……"
3,捍衛戰士：獨行俠,Top Gun: Maverick,2021-11-19,派拉蒙影業1986年推出的《捍衛戰士》，由湯姆克魯斯主演，是一齣以航空母艦與美國海軍戰鬥機武器學校為背景的勵志動作電影，在當年締造了全球3億5千6百多萬美元的票房成績。睽違33年之後，派拉蒙影業將在2020年6月26日暑假檔期推出美國軍事動作鉅片《捍衛戰士：獨行俠》，是1986年電影《捍衛戰士》的續集，同樣選擇在美國聖地牙哥海軍航空基地拍攝，這次導演是約瑟夫柯金斯基《遺落戰境》，主要演員有湯姆克魯斯(《捍衛戰士》、《不可能的任務》系列)、珍妮佛康納莉《艾莉塔：戰鬥天使》、邁爾斯泰勒《進擊的鼓手》、喬漢姆《貼背戰》、艾德哈里斯《母親！》、格蘭鮑威爾《浴血任務3》、路易斯普曼《勝負反手拍》…等。為了慶祝在聖地牙哥舉行的國際動漫展50週年(Comic-Con 50)，阿湯哥特別於7月19日凌晨獻上《捍衛戰士：獨行俠》前導預告，當音樂一下回憶湧上，經典雷朋太陽眼鏡、G-1飛行夾克、重機 KAWASAKI GPZ900R以及看到阿湯哥二度登上軍事戰機F-14駕駛的帥氣英姿，一幕幕都讓影迷熱血沸騰，尤其當戰機升空馳騁天際執行任務，穿梭在高山間的緊張氣氛令人屏息。
4,魔鬼剋星：未來世,Ghostbusters: Afterlife,2021-11-11,"★抓鬼始祖回歸！《魔鬼剋星 未來世》2020年夏天重磅登場
★《蟻人》保羅路德攜《怪奇物與》天才童星芬恩伍法德再戰經典
★唯一正宗續集《魔鬼剋星 未來世》完美承接系列宏偉世界觀
 
由《型男飛行日誌》金獎編導傑森瑞特曼，聯手《魔鬼剋星》系列幕後推手伊凡瑞特曼，打造全新正宗續集《魔鬼剋星 未來世》。
 
在全新的《魔鬼剋星 未來世》中，電影將圍繞在靠著以《怪奇物語》系列，在全球打開知名度的超級童星芬恩沃夫哈德為首的年輕世代們；一位單身母親帶著他的兩個孩子來到傳說中的神祕小鎮，究竟在《蟻人》保羅路德的帶領之下，他們是否能成功隨著線索，並沿著他們祖父所留下的魔鬼剋星傳奇裝備與車輛，接手這個經典不敗但卻失傳已久的的抓鬼大業呢？"
5,沙丘,Dune,2021-10-14,"《沙丘》講述一個神祕又性格強烈的英雄之心路歷程，本片講述保羅亞崔迪的故事，他是一個聰明又富有天賦的年輕人，肩負超越自己理解的偉大天命，且必須遠行至宇宙中最危險的行星，以確保他家人及族人未來的延續。敵對勢力為搶奪唯有此行星才出產的珍貴資源大打出手，而這也是人類最珍視的資源，一種能解鎖人類偉大潛能的物質，唯有能戰勝自己恐懼的人才能存活。
 
本片主要演員包括曾被奧斯卡提名的提摩西夏勒梅（《以你的名字呼喚我》、《她們》）、蕾貝卡弗格森（《安眠醫生》、《不可能的任務：全面瓦解》）、奧斯卡伊薩克（《星際大戰》系列電影）、曾被奧斯卡提名的喬許布洛林（《自由大道》、《復仇者聯盟：無限之戰》）、史戴倫史柯斯嘉（HBO的《核爆家園》、《復仇者聯盟2：奧創紀元》）、戴夫巴帝斯塔（《星際異攻隊》系列、《復仇者聯盟：終局之戰》）、史蒂芬麥金利亨德森（《心靈圍籬》、《淑女鳥》）、千黛亞（《蜘蛛人：返校日》、HBO的《亢奮》）、大衛達斯馬齊連（《銀翼殺手2049》、《黑暗騎士》）、張震（《龍先生》、《臥虎藏龍》）、莎朗鄧肯布魯斯特（《星際大戰外傳：俠盜一號》、Netflix的《性愛自修室》），以及曾被奧斯卡提名的夏綠蒂蘭普琳（《45年》、《刺客教條》），傑森摩莫亞（《水行俠》、HBO的《權力遊戲》），及奧斯卡得主哈維爾巴登（《險路勿近》、《007：空降危機》）。"
6,007生死交戰,No Time to Die,2021-10-01,"一向被視為年度大片的007系列電影即將推出第25部，丹尼爾克雷格再度飾演所向披靡，家喻戶曉的英國情報員詹姆斯龐德，延續上一集的故事發展，M夫人因公殉職，由雷夫范恩斯飾演新任的軍情六處長官M先生，他也是龐德的頂頭上司，班維蕭則飾演角色討喜幽默的裝備武器專家Q先生，而最令人注目的龐德女郎一角，將由法國女星蕾雅瑟杜再次詮釋，這也是除了第一代龐德女郎尤妮絲蓋森(Eunice Gayson)之外，打破過去007電影57年的慣例，成為史上第二位重複登場的龐德女郎；另一位全新龐德女郎則是曾經演出《銀翼殺手𝟐𝟎𝟒𝟗 》的古巴裔新生代女神安娜德哈瑪斯。此外，今年4月底才正式公布，這一集新的反派角色將由奧斯卡金像獎影帝雷米馬力克主演，他在波希米亞狂想曲的亮眼表現，勢必將為這部片注入全新的戲劇張力。
 
在《007生死交戰》中，情報員詹姆斯龐德退役後，在牙買加享受著平靜的生活。 
 
但當中央情報局的老朋友菲力克斯雷特出現請他協助時，這短暫的平靜也隨之結束。他的任務本是去營救一個被綁架的科學家，卻發現一個神祕的新型態科技犯罪組織，也讓自己身陷危險之中。"
7,猛毒2：血蜘蛛,Venom: Let There Be Carnage,2021-09-16,2018年《猛毒》推出後全球累積票房就突破8.5億，創下該年度全球票房第 7 名的佳績。睽違三年，《猛毒2：血蜘蛛》將由安迪瑟克斯執導，除了湯姆哈迪強勢回歸，上一集《猛毒》片尾彩蛋出現的神祕殺人魔克萊圖斯卡薩迪將在續集中掀起腥風血雨，讓觀眾在大銀幕首次見到「蜘蛛人宇宙」大魔王「血蜘蛛」殘暴真面目！
8,東京復仇者,Tokyo Revengers,2021-09-10,"★日本雙週票房冠軍
★《週刊少年Magazine》的人氣作品
★北村匠海領銜主演，山田裕貴與吉澤亮組成最強雙人組
★SUPER BEAVER 帶來的主題曲「名前を呼ぶよ」
 
原作漫畫由和久井健所著的《東京卍復仇者》，描述無論做什麼事情都不順利的主角「武道」，又住在破舊老公寓裡的他，從電視上得知國中時期的前女友「日向」無端捲入幫派火拼而身亡。某天他在月台等車時居然跌落鐵軌，正他以為自己死定了，回神之後卻發現自己回到 12 年前的國中時期。後來又遇上了日向的弟弟「直人」，告訴他 12 年後發生的事實，要求他要保護姐姐，雙方握手之後他又再次回到現代……。"
9,逃出摩加迪休,Escape From Mogadishu,2021-09-10,"★ 擊退迪士尼強檔《叢林奇航》榮登韓國票房冠軍！締造今年韓片最棒開票紀錄！
★《軍艦島》導演柳昇完 ×《與神同行》導演金容華雙強聯手，將難以想像的真實事件搬上大銀幕
★ 《極限逃生》製作團隊 ×《與神同行》特效公司巨資打造刺激動作電影！
★ 《七罪追緝令》金倫奭 ×《浴血圍城88天》趙寅成首度合作，在戰亂中尋找生機！
★ 耗資200億韓幣打造，全片北非摩洛哥取景拍攝
★ 早在《黑鷹計劃》事件之前，一段宛如《亞果出任務》的絕地逃亡故事
 
在內戰中被孤立的陌生都市．摩加迪休
現在唯一目標就是「活下去」！
 
在南韓為了加入聯合國而東奔西走的時期……1991年，索馬利亞首都．摩加迪休爆發內戰，身在此處無法與外界聯繫的南韓大使館職員和其家人們，每天飽受子彈和炮彈的威脅，為了生存而辛苦撐過每一天。就在某夜，北韓大使館的職員們請求協助，敲了南韓大使館的大門……究竟他們能否突破困境，逃出摩加迪休呢？"
